Age,Income,Credit_Score,Missed_Payments,Debt_to_Income_Ratio,Delinquent
40,32768,652,3,0.34,0
70,51715,569,4,0.41,1
37,41410,697,1,0.22,0
43,52788,667,1,0.27,0
39,64007,698,2,0.29,0
24,63595,626,0,0.28,0
54,31198,709,1,0.1,0
49,24990,554,0,0.66,1
50,220114,630,2,0.19,0
28,36666,665,0,0.1,0
58,74572,784,2,0.13,0
21,18683,727,1,0.23,0
47,41449,744,1,0.27,0
68,45418,765,2,0.07,0
27,65100,850,3,0.55,1
32,15000,682,0,0.22,0
41,54159,765,1,0.12,0
33,24591,740,2,0.19,0
19,59552,683,3,0.6,1
40,26323,786,0,0.5,0
26,29340,654,1,0.3,0
46,41598,650,0,0.21,0
28,26071,699,0,0.05,0
60,36852,669,1,0.05,0
29,23956,699,0,0.13,0
35,16319,773,1,0.21,0
50,90289,651,3,0.57,0
23,22524,661,0,0.19,0
42,44037,690,1,0.24,0
56,77013,666,3,0.21,0
19,33895,541,3,0.15,1
42,29878,645,2,0.29,0
43,56147,721,1,0.05,0
50,95871,766,2,0.48,0
23,24304,610,0,0.23,0
22,44797,610,2,0.51,0
46,17335,681,1,0.12,0
43,38718,555,0,0.28,0
43,50037,653,2,0.15,0
44,29355,575,1,0.19,0
31,37264,762,1,0.31,0
43,21058,633,0,0.65,0
43,51341,779,0,0.17,0
30,92356,711,2,0.53,1
64,25379,641,0,0.09,0
46,33738,615,2,0.59,0
24,66272,668,2,0.19,0
48,101443,673,1,0.22,0
27,20011,700,0,0.35,0
50,44299,633,1,0.24,0
55,58097,724,1,0.33,0
29,46109,695,2,0.46,0
52,15000,616,4,0.17,1
45,66214,637,1,0.12,0
50,121978,668,1,0.08,0
64,52575,591,1,0.64,1
36,26405,683,0,0.35,0
30,36030,685,2,0.22,0
28,141768,695,0,0.69,0
29,84624,785,0,0.55,0
38,71970,672,0,0.48,0
44,60709,740,1,0.55,0
43,32968,693,0,0.33,0
50,43462,615,4,0.49,1
40,46781,672,1,0.2,0
58,68168,676,1,0.21,0
36,121218,640,4,0.3,1
70,95894,566,1,0.61,1
48,20918,535,1,0.2,1
28,56072,719,0,0.05,0
26,76271,733,2,0.23,0
46,71062,724,2,0.15,0
37,33605,689,3,0.4,0
49,250000,726,1,0.41,0
46,22782,722,0,0.4,0
39,25593,727,0,0.12,0
28,56396,598,5,0.22,1
20,174570,614,0,0.44,0
34,29681,656,2,0.08,0
51,41793,678,3,0.05,0
42,93561,614,3,0.59,1
23,48498,525,1,0.31,1
42,40104,783,0,0.16,0
45,68828,626,1,0.54,1
28,57728,690,0,0.31,0
41,90968,754,3,0.05,0
40,106391,513,2,0.46,1
25,58935,649,1,0.19,0
44,58398,656,1,0.18,0
47,55740,659,2,0.46,0
54,65741,669,1,0.05,0
53,50670,766,1,0.43,0
22,49002,720,0,0.16,0
27,100506,737,2,0.08,0
46,121743,682,2,0.29,0
46,19840,547,5,0.23,1
46,49316,532,0,0.23,1
70,32428,535,3,0.5,1
47,40676,701,1,0.14,0
54,62411,681,1,0.2,0
52,73252,667,0,0.05,0
48,45831,657,4,0.37,0
35,15552,800,3,0.24,0
49,27473,630,0,0.45,0
29,83943,692,6,0.41,1
36,15000,680,3,0.3,0
33,99953,676,0,0.15,0
41,67019,750,3,0.23,0
70,107980,767,2,0.15,0
18,43514,665,0,0.31,0
48,15000,727,1,0.21,0
19,63463,701,2,0.16,0
33,105323,680,0,0.28,0
54,85377,648,3,0.66,1
40,32938,612,1,0.19,1
25,51640,661,2,0.17,0
30,35607,645,0,0.2,0
48,29984,734,1,0.51,0
30,86962,674,2,0.11,0
42,23896,575,2,0.17,1
40,28672,597,1,0.74,1
31,25275,453,2,0.73,1
67,20047,650,2,0.4,0
48,53522,682,1,0.53,0
18,98410,671,1,0.34,0
42,43873,798,0,0.36,0
31,19861,714,1,0.33,0
51,81142,711,0,0.33,0
29,134782,552,4,0.69,1
38,33264,615,1,0.51,1
46,36785,592,2,0.49,1
51,66795,632,1,0.09,0
24,129718,599,1,0.38,1
35,35885,523,3,0.24,1
33,22038,577,2,0.66,1
31,71600,732,1,0.28,0
62,79176,635,3,0.38,1
45,49201,649,1,0.33,0
23,35070,679,0,0.38,0
51,89020,750,1,0.18,0
67,67293,680,0,0.34,0
53,30913,712,0,0.21,0
20,50486,601,0,0.69,1
33,21784,642,1,0.17,0
56,73978,701,0,0.17,0
30,41884,793,2,0.32,0
45,37743,765,1,0.23,0
50,48063,714,1,0.3,0
27,50220,689,2,0.41,0
39,83864,764,0,0.66,0
18,69888,727,0,0.19,0
26,44629,514,1,0.11,1
36,77512,582,1,0.31,1
23,62345,700,0,0.34,0
61,37950,515,1,0.53,1
21,45486,586,3,0.16,1
34,44849,599,4,0.39,1
41,66380,634,4,0.67,1
58,39331,662,2,0.11,0
21,38783,662,2,0.7,0
55,159732,729,1,0.21,0
40,86149,664,0,0.26,0
27,31058,628,1,0.3,1
46,69048,599,3,0.36,0
42,52628,741,0,0.53,0
32,62002,639,0,0.53,0
40,53231,614,3,0.18,0
34,100086,692,1,0.09,0
41,60317,633,0,0.08,0
48,47228,648,2,0.22,0
60,91611,695,2,0.1,0
23,56385,660,1,0.4,0
67,52727,818,2,0.44,0
18,59184,675,1,0.42,0
38,46343,680,2,0.8,1
47,49292,563,0,0.33,0
43,34474,628,0,0.59,0
31,31235,614,1,0.25,0
37,26926,589,4,0.51,1
33,21264,704,1,0.32,0
32,28916,742,4,0.27,0
51,44154,700,1,0.29,0
44,52149,666,1,0.17,0
30,41656,616,4,0.62,1
51,15000,688,2,0.5,1
43,126090,804,1,0.23,0
50,94078,688,2,0.12,0
48,64052,736,2,0.05,0
29,153967,700,1,0.06,0
32,27271,725,0,0.22,0
49,152142,610,1,0.05,0
47,27470,650,4,0.13,0
39,56570,703,1,0.36,0
41,22826,752,0,0.27,0
56,49454,630,0,0.06,0
32,61802,558,2,0.16,0
47,44675,650,1,0.43,0
37,75231,740,1,0.07,0
37,52021,584,0,0.67,0
54,35830,589,1,0.27,1
50,34888,689,2,0.18,0
50,79741,673,2,0.2,0
56,33115,715,0,0.22,0
40,84901,553,1,0.54,1
48,102091,627,4,0.36,1
35,18011,751,1,0.54,0
44,96737,553,4,0.68,1
38,168763,768,2,0.35,0
41,57022,569,3,0.48,1
47,70224,730,2,0.24,0
29,91327,657,1,0.24,0
67,41552,611,1,0.36,0
26,54686,650,0,0.35,0
24,22280,712,2,0.3,0
55,53272,629,4,0.52,1
50,66096,747,1,0.53,0
48,66815,766,1,0.15,0
48,92897,562,4,0.38,1
39,30795,604,0,0.16,0
28,35611,574,1,0.2,1
40,152864,626,1,0.33,0
31,44792,746,2,0.47,0
52,55271,675,4,0.2,1
38,47088,623,4,0.51,1
29,29941,679,2,0.12,0
35,129847,764,0,0.47,0
45,35716,794,0,0.38,0
32,24925,658,3,0.24,1
29,37404,520,3,0.33,0
43,15000,697,2,0.22,0
43,33164,736,1,0.09,0
33,27422,637,2,0.8,1
33,71001,678,1,0.62,1
43,32726,701,1,0.19,0
21,83506,563,1,0.34,1
21,113446,586,3,0.25,1
30,78331,660,0,0.2,0
37,43077,743,1,0.32,0
44,53352,634,2,0.8,0
59,19633,707,1,0.26,0
51,45239,642,6,0.24,1
37,29252,753,4,0.41,1
39,74354,677,2,0.11,0
26,229498,574,1,0.41,0
39,66164,718,2,0.14,0
36,15000,808,0,0.2,0
44,39468,722,3,0.18,0
29,52759,632,2,0.45,0
46,51658,615,1,0.21,0
59,31618,622,2,0.05,0
38,56793,800,1,0.18,0
45,23260,660,1,0.22,0
48,27807,640,1,0.45,0
34,72220,670,1,0.11,0
42,26651,660,2,0.35,0
40,67705,774,2,0.26,0
41,21554,619,1,0.24,0
29,141336,750,0,0.27,0
40,30805,687,0,0.25,0
46,42864,752,0,0.1,0
58,59776,774,1,0.33,0
52,34919,685,1,0.16,0
67,53425,661,1,0.45,0
30,69231,654,5,0.27,1
51,87235,635,3,0.35,1
42,78818,580,0,0.24,0
68,44219,773,0,0.26,0
29,44892,694,0,0.06,0
29,200679,610,0,0.55,0
32,86676,555,1,0.25,0
18,28195,495,4,0.26,1
33,52051,726,4,0.53,0
30,40091,602,1,0.72,1
41,45197,652,0,0.61,0
44,23442,709,0,0.12,0
64,38286,649,1,0.09,0
52,145354,712,0,0.16,0
32,69386,685,1,0.3,0
28,15000,617,4,0.6,1
46,101725,585,0,0.17,0
22,94256,630,3,0.18,0
63,39514,716,1,0.06,0
55,75384,639,1,0.16,0
33,29271,752,0,0.51,0
18,36969,820,2,0.28,0
57,120466,719,2,0.22,0
38,41646,769,2,0.47,0
56,15965,699,3,0.2,1
19,47193,647,1,0.19,0
32,46762,692,1,0.1,0
40,100611,800,1,0.57,0
40,49444,648,1,0.16,0
34,38065,575,4,0.2,1
48,91769,587,2,0.32,1
26,52705,666,1,0.05,0
38,31256,619,1,0.43,0
41,98027,780,2,0.29,0
46,55061,692,0,0.6,0
49,49106,738,0,0.11,0
25,54543,628,1,0.49,1
20,25786,586,3,0.24,1
56,35717,568,4,0.53,1
44,49126,625,0,0.23,0
30,43616,700,0,0.19,0
60,105183,711,3,0.12,0
41,55851,716,2,0.36,0
55,81874,590,0,0.18,0
40,49297,679,1,0.18,0
66,92389,618,0,0.25,0
62,62225,704,0,0.05,0
36,49417,708,2,0.43,0
52,48631,609,2,0.09,0
48,27648,738,3,0.25,0
57,66446,820,1,0.21,0
27,47852,730,1,0.18,0
48,36272,670,2,0.15,0
53,95213,661,0,0.32,0
18,23152,667,2,0.48,0
24,38044,614,4,0.67,1
18,90819,695,1,0.13,0
36,59237,552,6,0.41,1
49,47633,513,1,0.23,1
59,56988,693,2,0.11,0
40,54592,681,1,0.27,0
61,19732,645,1,0.13,0
22,39753,583,3,0.28,1
18,129302,697,1,0.11,0
39,33004,567,2,0.38,1
44,40498,671,1,0.34,0
39,35419,785,0,0.64,0
18,46527,719,1,0.08,0
38,34548,552,1,0.36,1
23,65646,603,1,0.16,0
48,55181,689,3,0.16,0
44,77973,597,1,0.56,0
27,26093,530,2,0.54,1
33,39966,711,0,0.34,0
26,42811,699,1,0.13,0
39,64433,707,3,0.74,0
52,30456,646,4,0.62,1
27,84913,676,2,0.06,0
46,99892,594,3,0.6,1
33,27083,710,0,0.34,0
29,36514,771,1,0.47,0
38,35626,620,3,0.75,1
26,237858,618,1,0.35,0
32,37875,567,3,0.53,1
24,134131,577,6,0.36,1
65,22925,671,1,0.64,1
40,27070,513,3,0.5,1
30,32468,706,2,0.35,0
42,29513,718,3,0.33,0
38,41741,572,1,0.17,0
37,32039,598,1,0.19,1
47,29983,684,1,0.11,0
49,98231,633,4,0.61,1
33,102158,711,0,0.23,0
32,86645,671,1,0.39,0
36,67130,755,0,0.57,0
18,51825,614,4,0.42,1
20,36380,567,2,0.22,1
57,27670,582,0,0.57,1
61,60949,724,1,0.14,0
36,24241,681,0,0.33,0
47,27001,718,0,0.12,0
44,97904,716,0,0.1,0
70,153336,558,1,0.52,0
54,62067,611,2,0.34,0
38,95213,618,2,0.18,0
27,42297,631,2,0.5,0
19,21969,654,2,0.07,0
42,70777,739,1,0.19,0
30,68980,751,2,0.17,0
21,51174,662,0,0.12,0
31,42386,664,2,0.53,0
25,87319,588,1,0.5,1
61,27134,685,2,0.32,0
51,30814,644,3,0.26,1
39,26772,701,1,0.22,1
59,51584,727,0,0.34,0
41,25521,541,0,0.41,0
28,32514,670,1,0.05,0
59,32097,763,1,0.17,0
47,41924,622,1,0.52,1
26,20081,691,4,0.32,1
37,51654,661,0,0.42,0
28,103609,690,3,0.1,0
22,53172,611,2,0.15,0
52,123598,614,0,0.24,0
64,109141,723,0,0.05,0
21,78169,732,1,0.52,0
47,51267,681,0,0.47,0
31,49687,548,3,0.4,1
33,77519,682,2,0.22,0
32,38754,755,3,0.39,0
28,15843,784,1,0.38,0
40,65854,618,1,0.8,1
29,24868,580,1,0.18,0
43,27521,730,1,0.2,0
39,49027,663,2,0.16,0
36,46301,736,0,0.35,0
28,21010,696,2,0.16,0
32,54138,626,0,0.42,0
49,87525,683,1,0.23,0
46,24909,758,2,0.52,0
27,105186,626,5,0.54,1
41,19223,617,2,0.09,0
49,174624,584,0,0.19,0
18,38301,603,3,0.58,1
47,53496,655,2,0.32,0
31,15752,729,0,0.27,0
47,47226,584,1,0.32,1
30,56223,773,2,0.19,0
18,46550,567,3,0.46,1
18,34966,819,1,0.14,0
40,27779,783,0,0.09,0
43,96598,688,0,0.14,0
28,49935,530,0,0.49,1
48,123556,626,0,0.32,1
18,35743,656,3,0.2,0
39,37764,603,1,0.51,0
24,79965,657,3,0.55,1
31,18512,630,1,0.31,0
40,23669,637,2,0.05,0
28,94702,667,1,0.3,0
35,24266,645,0,0.45,0
53,16458,804,1,0.24,0
32,150409,647,0,0.4,0
50,21241,706,1,0.24,0
25,54746,688,0,0.32,0
46,51095,701,0,0.1,0
58,15000,705,2,0.57,0
18,41756,690,1,0.65,1
29,64154,695,0,0.31,0
47,60632,693,1,0.55,0
37,84297,683,0,0.35,0
44,38851,614,1,0.48,1
32,75169,625,1,0.39,0
41,32415,676,2,0.44,0
37,21030,694,0,0.12,0
55,22502,704,2,0.22,0
43,20388,690,2,0.27,0
44,89836,666,0,0.31,0
34,19756,676,0,0.13,0
33,57781,646,1,0.16,0
34,41791,698,1,0.46,0
45,46092,666,2,0.21,0
34,111097,690,2,0.24,0
43,37682,740,0,0.45,0
66,70753,637,0,0.58,0
51,50138,715,1,0.06,0
35,44747,681,4,0.18,0
55,194849,801,0,0.25,0
34,20644,667,1,0.42,0
18,106242,721,0,0.16,0
26,72681,680,0,0.1,0
18,36764,553,2,0.19,1
35,130299,648,2,0.32,0
40,16173,732,2,0.36,0
61,35844,654,2,0.1,0
44,23739,546,0,0.27,0
37,62771,655,4,0.31,1
50,25138,614,1,0.39,0
18,63566,687,3,0.52,0
43,43832,773,1,0.24,0
50,36768,669,1,0.53,1
20,61894,772,1,0.5,0
54,41723,646,2,0.49,0
44,25509,617,2,0.44,1
34,250000,617,1,0.34,0
48,36596,638,3,0.49,0
69,15000,624,0,0.17,0
42,29576,601,1,0.1,0
43,22916,761,1,0.22,0
34,80473,554,1,0.39,0
28,59455,762,1,0.53,0
50,62269,754,1,0.16,0
28,39260,709,1,0.41,0
40,41456,587,2,0.57,1
33,39239,585,3,0.23,0
46,46689,647,4,0.07,0
44,80918,717,3,0.17,0
53,59972,680,0,0.09,0
33,66175,617,1,0.17,0
36,66153,748,0,0.1,0
27,83338,781,2,0.27,0
34,58272,666,0,0.25,0
44,60797,686,1,0.54,0
49,100035,589,1,0.32,0
28,32891,609,3,0.23,1
51,29335,710,2,0.27,0
57,24063,701,1,0.21,0
45,54707,649,1,0.12,0
64,16119,663,2,0.34,0
29,64685,607,0,0.3,1
23,45912,639,1,0.25,1
18,96836,705,5,0.05,0
59,32756,535,1,0.25,1
48,43391,675,1,0.59,0
39,96117,700,1,0.11,0
43,112406,645,1,0.29,0
25,32594,593,2,0.73,1
70,54669,652,3,0.34,0
41,58492,651,0,0.26,0
41,61340,630,3,0.49,1
49,41875,687,0,0.05,0
46,105749,553,1,0.16,0
42,15774,719,2,0.11,0
29,38075,662,0,0.53,0
46,64135,795,3,0.05,0
64,64494,608,1,0.18,0
57,110376,627,2,0.22,0
60,100602,667,1,0.2,0
33,41302,704,1,0.52,0
27,106929,562,0,0.2,0
38,31938,630,2,0.39,0
40,85693,715,1,0.56,0
54,145264,623,0,0.28,0
18,101617,762,0,0.31,0
59,52232,652,0,0.33,0
37,40172,626,1,0.17,0
34,19591,716,0,0.11,0
26,59060,776,1,0.42,0
18,25106,704,1,0.34,0
50,30458,719,2,0.29,1
40,23993,780,1,0.15,0
23,37188,624,0,0.5,0
23,48205,736,1,0.05,0
35,57766,588,1,0.15,0
61,34190,705,1,0.36,0
36,93113,675,2,0.33,0
20,43264,721,5,0.28,1
36,30557,750,1,0.05,0
36,56149,714,2,0.12,0
18,159234,668,2,0.65,1
39,59939,674,5,0.32,1
36,39430,683,0,0.36,0
49,19604,676,0,0.06,0
64,42974,766,0,0.31,0
54,56441,736,4,0.25,1
36,38849,671,0,0.05,0
25,18047,694,0,0.14,0
70,29426,684,1,0.43,0
40,117327,583,3,0.31,0
40,115890,659,1,0.5,0
39,28796,754,2,0.43,1
42,73398,635,1,0.35,0
38,24169,806,1,0.13,0
32,113844,750,0,0.34,0
32,56791,704,3,0.34,0
39,86663,713,0,0.31,0
32,17517,624,0,0.18,0
30,73613,664,0,0.21,0
41,48795,766,3,0.45,0
36,81728,643,2,0.11,0
59,84873,743,2,0.36,0
18,50994,597,0,0.68,0
54,34183,570,1,0.38,1
56,78262,794,1,0.42,0
18,47283,679,1,0.34,0
35,29037,647,2,0.07,0
35,28223,714,4,0.49,1
21,20205,754,1,0.19,0
29,36091,735,0,0.22,0
25,94998,645,0,0.44,0
62,54540,662,0,0.1,0
52,35672,698,2,0.22,0
56,79452,721,0,0.35,0
49,29747,649,3,0.28,0
25,51907,664,5,0.34,1
33,44012,696,2,0.17,0
46,78235,757,0,0.14,0
24,19027,725,3,0.31,0
49,29433,589,1,0.58,0
36,18343,667,2,0.26,0
35,41950,624,0,0.33,0
49,101402,714,0,0.06,0
45,36197,735,0,0.05,0
35,36083,686,1,0.11,0
55,82704,663,1,0.37,0
25,93072,684,1,0.15,0
48,46483,692,0,0.15,0
47,73926,619,4,0.27,1
35,25689,564,3,0.48,1
44,112059,527,1,0.4,1
23,177943,756,3,0.4,0
52,67018,709,1,0.66,0
37,15000,673,1,0.34,1
33,35068,755,2,0.47,0
53,70805,604,1,0.4,0
30,38067,575,4,0.4,0
21,105168,703,1,0.28,0
19,69765,644,3,0.8,1
47,32084,519,1,0.61,1
23,49979,701,0,0.42,0
62,28672,655,0,0.23,0
18,43934,631,0,0.3,0
62,35145,620,5,0.65,1
42,99196,533,2,0.35,0
38,174487,644,1,0.37,0
32,20770,593,4,0.39,1
45,15460,713,2,0.38,0
39,42314,670,1,0.28,0
54,19711,718,1,0.47,0
41,50399,496,4,0.46,1
41,76830,629,2,0.24,0
35,120148,713,0,0.48,0
39,55317,661,2,0.24,0
44,43656,730,2,0.36,0
18,15000,571,1,0.27,0
22,49797,723,0,0.17,0
49,51163,641,2,0.28,0
42,71924,635,1,0.18,0
37,32045,739,0,0.43,0
40,37758,749,0,0.14,0
44,20195,698,2,0.42,1
32,15000,802,2,0.36,0
29,25207,756,1,0.56,0
42,19106,632,1,0.15,0
27,59995,688,1,0.05,0
45,35922,658,1,0.45,0
18,35491,751,2,0.57,1
53,27155,746,1,0.08,0
46,15000,612,4,0.46,1
43,121174,732,1,0.06,0
52,26898,606,3,0.46,0
61,38274,695,1,0.26,0
53,20477,623,1,0.58,0
18,87829,578,1,0.27,0
23,53426,727,1,0.06,0
31,29857,734,2,0.33,0
40,38741,707,4,0.05,0
46,134176,669,1,0.21,0
30,46920,604,0,0.37,0
42,43956,610,0,0.07,0
30,27866,621,0,0.33,0
32,15728,665,1,0.18,0
21,44532,702,2,0.64,1
27,59592,743,1,0.45,0
22,94821,581,0,0.14,0
27,15000,607,5,0.29,1
53,24957,636,0,0.35,0
27,34598,471,0,0.56,1
70,48918,713,1,0.72,0
46,44935,665,1,0.26,0
42,45569,673,2,0.17,0
28,62621,760,1,0.21,0
49,28510,685,0,0.17,0
32,85860,618,3,0.22,1
41,63581,714,1,0.39,0
70,40461,743,2,0.3,0
38,128097,697,0,0.26,0
54,124722,721,0,0.21,0
30,85796,618,4,0.6,1
39,15000,675,3,0.06,0
63,126420,686,1,0.23,0
31,78972,634,2,0.3,0
63,163381,645,1,0.51,0
49,102999,762,0,0.13,0
32,126374,800,0,0.22,0
48,83049,775,2,0.19,0
52,110107,571,1,0.36,1
48,162181,594,1,0.27,0
19,55822,588,6,0.53,1
30,19085,688,0,0.31,0
36,40762,483,2,0.4,1
39,61942,644,1,0.25,0
48,51273,720,4,0.34,1
42,23203,738,2,0.59,0
22,18423,617,3,0.57,1
44,31423,653,2,0.25,0
47,79589,714,0,0.28,0
47,126526,736,0,0.06,0
54,84960,648,2,0.28,0
50,92453,665,0,0.13,0
45,46700,646,0,0.17,0
39,17235,600,1,0.07,0
18,37304,666,2,0.09,0
45,41971,662,2,0.35,0
42,36379,604,1,0.07,0
43,50656,682,2,0.5,1
23,63885,708,1,0.21,0
25,81781,721,0,0.25,0
53,41486,594,0,0.61,1
39,15642,560,1,0.39,0
48,36690,708,1,0.13,0
40,50323,640,1,0.07,0
40,102097,626,0,0.08,0
52,34867,604,1,0.4,0
33,66671,606,2,0.34,1
41,58340,774,2,0.21,0
33,50329,649,0,0.37,0
34,85675,578,1,0.35,1
35,32974,719,1,0.14,0
42,34713,631,4,0.27,1
33,48672,552,3,0.13,0
56,33386,719,0,0.22,0
28,66490,807,0,0.31,0
37,31955,466,2,0.43,1
34,56150,605,0,0.24,0
58,46161,460,6,0.46,1
42,55768,675,4,0.1,0
53,37203,739,0,0.13,0
20,39996,686,1,0.05,0
43,51927,763,0,0.24,0
51,55339,729,1,0.08,0
41,48897,782,1,0.24,0
53,136382,749,0,0.4,0
33,27053,655,2,0.47,0
58,47168,684,1,0.11,0
69,19069,627,0,0.35,0
35,61282,666,1,0.29,0
34,25105,683,1,0.2,0
58,41481,626,2,0.39,1
60,39212,760,2,0.42,0
33,58019,630,2,0.6,1
34,35183,594,1,0.8,1
36,34297,576,3,0.51,1
22,116019,719,1,0.29,0
28,58147,595,0,0.37,0
26,35009,667,2,0.27,0
30,42171,759,0,0.64,0
39,131559,697,0,0.3,0
43,42569,675,1,0.05,0
60,32416,677,2,0.39,0
27,32500,618,1,0.18,0
52,35260,628,1,0.18,0
37,34313,668,1,0.07,0
39,22747,696,2,0.52,0
48,24971,736,1,0.4,0
25,29804,685,0,0.13,0
44,69908,724,1,0.35,1
42,38997,752,2,0.53,1
46,43291,727,1,0.24,0
43,105035,753,3,0.27,0
70,106617,620,1,0.34,0
31,41387,611,1,0.22,0
33,33573,711,1,0.3,0
31,29183,599,0,0.41,0
32,74285,662,0,0.22,0
31,43354,726,0,0.19,0
55,38874,764,1,0.3,0
58,30085,624,5,0.52,1
32,30890,641,1,0.48,0
29,59399,668,4,0.72,1
46,22264,560,2,0.59,1
32,89047,669,1,0.39,0
48,35585,679,2,0.3,0
42,44811,678,1,0.38,0
20,21978,685,1,0.4,0
60,48658,629,1,0.27,0
63,40255,636,0,0.24,0
32,47569,635,0,0.49,0
34,118542,548,2,0.5,1
43,54536,700,3,0.34,0
44,30430,733,0,0.41,0
48,31990,727,0,0.1,0
66,70057,664,0,0.2,0
37,106853,631,1,0.14,0
29,58055,724,1,0.45,0
22,74104,718,0,0.41,0
30,70674,693,2,0.39,0
39,114856,784,3,0.19,0
63,15218,678,0,0.3,0
33,73154,635,5,0.46,1
42,88454,656,0,0.3,0
39,21955,544,2,0.12,1
55,28813,719,3,0.49,0
70,29422,673,1,0.19,0
33,31657,710,1,0.44,0
33,36716,790,2,0.15,0
53,56701,656,2,0.29,0
48,82405,539,1,0.19,0
64,93787,708,2,0.2,0
47,29652,690,1,0.15,0
35,29530,636,0,0.17,0
47,107957,703,2,0.11,0
54,72261,727,1,0.56,0
50,51519,623,1,0.37,0
46,65120,619,1,0.43,1
53,48151,768,1,0.21,0
55,67154,636,1,0.33,0
57,40069,684,1,0.14,0
48,57600,522,0,0.22,0
37,19804,571,3,0.15,1
41,32445,689,1,0.47,0
55,32656,753,1,0.12,0
29,39158,546,3,0.51,1
44,28115,684,3,0.44,0
34,35591,657,1,0.12,0
40,19758,737,0,0.15,0
56,68133,606,0,0.22,0
42,46652,705,0,0.23,0
40,17621,640,0,0.42,0
22,29705,693,0,0.18,0
49,59991,633,1,0.53,1
48,35390,664,0,0.09,0
68,32268,708,1,0.17,0
35,46875,682,1,0.18,0
42,60244,672,3,0.33,0
43,20706,658,1,0.21,0
60,68191,684,1,0.38,0
38,30327,693,1,0.05,0
43,48496,573,5,0.73,1
47,47989,659,1,0.43,0
42,35730,616,0,0.2,0
34,26523,634,2,0.39,1
42,41298,644,1,0.7,0
53,129988,726,2,0.08,0
26,21655,671,3,0.63,1
41,135318,624,2,0.32,0
30,41947,679,0,0.3,0
55,50072,718,0,0.25,0
20,25539,633,1,0.2,1
32,30860,636,2,0.47,0
